Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Expected
37,1,1,3/11/2011,62,16.75,114332562,15.42,-3.31725,4.419900447,1.00313,0.187149,16.03
38,1,28,2/25/2011,12,54.01,92696912,51.52,-3.82828,79.79620013,0.618357,0.714976,51.75
39,1,13,2/18/2011,77,164.84,14352613,162.52,0.401998,-45.02337001,-0.788653,0.454987,164.84
40,2,9,4/21/2011,232,42.46,24312043,40.45,3.17305,-40.44189089,1.79499,0.946298,42.27
41,2,29,6/17/2011,54,80.82,100521400,78.33,-1.225,8.8119524,-2.37762,0.594786,79.02
42,1,2,1/14/2011,82,46.25,25913713,44.01,4.63801,-42.54425775,-0.0651749,0.389189,46.25
43,1,4,1/21/2011,40,15.16,982445809,13.94,-5.50398,29.11022794,-4.5614,0.0701754,14.25
44,2,17,6/3/2011,25,35.00,38915498,34.05,-1.98333,22.91416324,-0.821837,0.85044,34.10
45,2,25,6/3/2011,5,62.25,13535632,60.59,-1.24294,9.648815334,-3.48818,0.670154,61.18
46,2,10,5/13/2011,34,20.42,195448891,19.76,-0.400601,-16.8939336,-1.15869,0.703871,19.89
47,2,4,4/1/2011,61,13.61,499672763,13.16,-0.372578,-30.37656568,0.597015,0.0747943,13.37
48,1,24,2/25/2011,61,64.40,47748854,62.53,-1.39652,32.2720566,-1.22611,0.843412,62.84
49,1,16,1/21/2011,73,45.54,182971761,43.60,0.599733,26.48157478,-1.48197,0.551998,45.29
50,2,28,6/17/2011,54,53.29,68996550,51.79,-0.1701,17.44814099,-0.550285,0.700492,52.82
51,2,1,5/13/2011,82,17.62,111630753,16.75,-0.34965,-50.39813923,-4.35294,0.175439,17.10
52,2,26,4/8/2011,40,86.00,11690792,84.18,-0.992295,-28.339435,-1.82353,0.565971,84.81
53,1,17,1/7/2011,81,31.76,44971770,31.14,-1.79471,,1.39114,0.929785,31.19
54,2,22,6/24/2011,53,24.86,309206180,24.16,0.537857,10.26138322,7.38754,0.658436,24.30
55,1,8,1/14/2011,28,49.80,34546875,47.20,3.10559,24.90378736,-2.38239,0.823293,49.80
56,2,29,5/13/2011,89,83.76,99678100,79.42,-2.578,-12.41390953,1.68287,0.58118,80.87
57,2,5,6/3/2011,45,106.60,35887587,99.15,-4.99013,18.77910764,-3.45137,0.454995,101.10
58,2,17,4/21/2011,68,33.67,33399240,32.70,2.01711,-53.30771677,0.418535,0.868784,33.38
59,2,19,5/6/2011,21,79.37,26460318,78.20,0.382653,15.43122927,1.61087,0.775095,78.70
60,2,9,4/1/2011,252,43.48,34130223,42.36,-0.787219,-16.13448039,-2.58922,0.933489,42.85
61,2,14,6/10/2011,54,22.44,249719951,21.26,-1.92661,11.99298448,-1.11993,0.982226,21.38
62,2,19,4/8/2011,49,76.91,22337802,75.66,-0.35382,24.25257973,1.61523,0.802209,76.04
63,2,15,4/21/2011,35,64.54,72888066,60.10,5.98842,24.31515439,3.25216,0.889652,64.07
64,1,5,3/18/2011,33,105.64,54195667,98.55,2.40764,40.35219927,2.04864,0.418808,105.06
65,1,21,3/18/2011,87,32.60,86394177,31.06,-1.81538,-5.393471092,1.49579,1.19085,31.91
66,1,5,2/25/2011,54,105.30,28146727,98.03,-2.72745,72.34217163,0.311526,0.431373,102.00
67,2,25,5/6/2011,33,64.17,14335889,62.85,-0.204531,-10.66190717,-1.42338,0.646382,63.43
68,2,26,4/29/2011,19,89.80,20800024,86.29,2.96552,23.37164592,-0.910807,0.535834,89.58
69,2,12,4/29/2011,45,41.30,82362537,39.99,-1.68047,78.10221373,0.294913,0.322021,40.37
70,2,14,5/20/2011,75,23.96,387571150,23.08,-0.428816,12.41924755,-3.09773,0.904393,23.22
71,2,20,4/8/2011,40,94.10,12672220,92.60,0.58265,-15.28166652,-0.822737,0.590002,93.22
72,1,21,3/4/2011,7,33.36,128028062,32.19,2.67081,122.7818036,-0.818182,1.14943,33.06
73,2,6,6/3/2011,32,16.82,256069538,15.98,-3.49608,8.942427237,-5.73566,0.374766,16.01
74,1,7,1/28/2011,17,94.97,42303108,92.93,-0.55384,52.42922993,3.47363,0.771126,93.37
75,2,9,4/8/2011,245,43.05,39055258,41.40,-2.58922,14.43012839,-0.574713,0.957854,41.76
76,2,1,6/3/2011,61,16.83,77152591,15.77,-4.8416,-0.108848567,-4.0201,0.188442,15.92
77,2,13,5/27/2011,73,168.60,19453763,165.90,-0.593472,-25.2573493,-2.01259,0.447761,167.50
78,1,1,1/14/2011,19,16.71,242963398,15.64,-4.42849,1.380223028,-2.47066,0.187852,15.97
79,2,21,4/21/2011,53,34.29,47226349,33.51,-0.467836,-44.78625766,6.67656,1.11633,34.04
80,2,15,4/1/2011,55,59.73,48029143,58.93,0.8647,1.118242873,-0.0672269,0.958144,59.49
81,1,15,3/4/2011,83,61.50,63576642,59.77,1.88553,35.88585823,-2.2917,0.933508,61.06
82,2,4,4/29/2011,33,12.60,557530217,12.23,-0.324675,-10.78053414,-0.404531,0.0814332,12.28
83,1,15,1/28/2011,28,62.72,86229071,60.00,-4.07609,79.64434703,1.13032,0.89985,60.01
84,1,7,1/14/2011,31,92.85,28260512,90.12,2.06707,-20.51894731,0.903809,0.775611,92.83
85,2,26,5/20/2011,89,89.25,22021867,86.65,-1.08524,26.41257521,-0.0925819,0.548571,87.50
86,2,22,5/6/2011,11,26.25,346656165,25.48,-0.269854,-37.52703915,-2.9845,0.618477,25.87
87,1,1,2/18/2011,83,17.68,80023895,17.28,-0.632547,-30.22669579,-1.76678,0.173611,17.28
88,1,11,3/4/2011,4,37.86,49763519,36.33,0.188425,-9.217280626,-0.322061,0.671682,37.22
89,2,14,6/3/2011,61,22.64,222978209,21.67,-3.20713,5.954584273,-1.92661,0.966406,21.73
90,2,10,4/29/2011,48,20.85,280299000,19.89,1.53923,53.30701978,-3.33333,0.684597,20.45
91,2,12,6/3/2011,10,37.52,79313559,36.00,-3.13841,-25.53256987,-2.05613,0.360011,36.11
92,2,30,5/27/2011,40,31.30,73854767,30.92,0.935484,-27.97466709,-2.63659,1.37424,31.29
93,1,18,3/4/2011,7,65.87,61665987,63.86,1.62069,90.72844481,-0.780772,0.720748,65.21
94,2,6,6/10/2011,25,16.17,412198054,15.01,-5.73566,60.9711398,-1.12285,0.396825,15.12
95,1,10,1/21/2011,24,19.97,449508777,18.17,4.00421,108.4666504,1.35474,0.70922,19.74
96,1,15,3/18/2011,69,59.49,71716802,57.50,-1.54648,33.19330574,0.528379,0.973194,58.57
97,2,8,4/29/2011,12,56.88,27349183,54.54,1.97522,76.02131292,-3.17263,0.721958,56.79
98,1,15,1/14/2011,42,62.98,34950419,62.00,0.417402,-39.50570645,0.723356,0.863309,62.55
99,1,18,3/25/2011,80,65.39,29853434,63.05,3.31063,-49.86235567,3.09816,0.720638,65.22
100,1,17,2/25/2011,32,32.20,50462721,30.66,3.22266,32.19706832,-0.754243,0.914538,31.71
101,1,3,2/25/2011,75,74.29,26258425,70.00,-0.0691085,64.2255158,-0.92452,0.580913,72.30
102,1,2,2/18/2011,47,46.93,28564910,45.53,-1.91728,-34.70429674,-3.13752,0.395344,45.53
103,2,2,4/29/2011,61,49.15,32470319,46.77,4.00509,41.61051838,1.68118,0.366748,49.08
104,1,23,2/4/2011,96,19.39,358819619,18.16,6.10225,29.46420862,-2.28334,1.03627,19.30
105,1,4,1/7/2011,54,14.69,1453438639,13.80,2.88809,,7.62174,0.0701754,14.25
106,1,24,3/18/2011,40,61.39,66311521,59.70,-0.720839,25.75243927,-0.131234,0.874587,60.60
107,1,29,3/11/2011,61,86.08,92727886,80.10,-4.33364,-9.209723759,-1.00404,0.572333,82.12
108,2,19,6/3/2011,88,82.25,23382621,80.01,-1.93596,-12.18939683,-0.297767,0.757388,80.54
109,2,23,4/8/2011,33,20.61,199157969,20.15,-0.437956,16.86000958,-0.0973236,0.977517,20.46
110,1,12,1/7/2011,66,45.39,100020724,42.22,6.79773,,3.09853,0.177423,45.09
111,1,5,2/18/2011,61,105.86,16331886,102.01,2.22093,-40.89587026,-2.72745,0.415643,105.86
112,1,26,1/14/2011,33,79.90,12713121,77.81,1.03488,-19.52621247,1.16044,0.543753,79.08
113,2,1,6/10/2011,54,16.03,94970970,15.17,-4.0201,23.09498459,-3.72793,0.196335,15.28
114,2,23,6/17/2011,47,20.73,229372501,20.03,0.896414,16.91862397,-0.049776,0.987167,20.26
115,1,4,3/25/2011,68,14.22,717678994,13.32,-6.05634,-9.427520474,-0.372578,0.0749625,13.34
116,2,26,4/21/2011,27,87.10,16859647,81.10,5.44794,-0.928290795,2.96552,0.551091,87.10
117,2,7,6/10/2011,68,101.87,35612426,98.98,-1.21903,10.57626055,-0.869652,0.732417,99.67
118,2,20,5/6/2011,12,97.95,17031494,94.40,-2.0291,-17.54543596,0.745016,0.575314,95.60
119,2,23,6/10/2011,54,20.97,196181321,20.04,-3.41018,16.07392594,0.896414,0.99453,20.11
120,1,9,2/18/2011,294,43.90,33868302,42.98,0.85668,-59.6688392,0.280177,0.918274,43.56
121,1,13,1/14/2011,25,150.00,15335348,146.00,2.04082,-34.72331978,3.79122,0.433333,150.00
122,2,22,5/20/2011,88,25.07,311462943,24.25,-1.88301,-18.5277795,2.27179,0.653328,24.49
123,2,16,4/15/2011,77,47.37,186017520,44.83,-4.48936,52.55140084,0.926135,0.556917,44.89
124,2,17,5/20/2011,39,35.44,48017488,34.48,1.1194,0.934330417,-0.629111,0.823162,35.23
125,2,21,4/8/2011,66,33.70,64799122,33.01,0.989802,7.37406521,2.46437,1.1286,33.67
126,2,15,5/27/2011,91,66.77,49866786,65.08,2.42368,-6.590436653,-1.81251,0.853677,66.77
127,1,24,1/28/2011,89,66.95,70042160,63.14,-2.57967,51.56060413,-1.14996,0.825545,64.20
128,2,14,4/1/2011,33,20.66,321390635,19.56,-3.5225,40.25291453,1.1622,0.912779,19.72
129,1,11,2/11/2011,25,37.48,36079400,36.41,1.84783,-13.77817556,2.69549,0.667022,37.48
130,2,16,4/29/2011,63,46.02,107332185,44.38,2.19485,-5.234805589,-1.95908,0.547885,45.63
131,2,4,6/3/2011,89,11.92,596420503,11.08,-4.97051,24.41261061,-3.39893,0.0886525,11.28
132,2,23,4/21/2011,20,20.88,143338656,19.79,-2.60827,-31.57465728,5.11278,1.01061,19.79
133,1,28,2/11/2011,26,56.73,49477410,55.30,-0.677724,-18.86548397,0.217155,0.664392,55.69
134,1,9,1/21/2011,322,39.94,36187032,38.51,1.71487,13.28480147,-1.99294,1.00654,39.74
135,1,3,1/21/2011,19,72.99,29594221,70.23,1.15721,57.1263549,-3.2019,0.585938,71.68
136,1,19,1/21/2011,35,75.75,40056497,74.31,0.482251,-10.77906533,-1.3064,0.813225,75.01
137,1,28,3/11/2011,61,53.88,69185186,51.75,0.631458,-7.709035471,-1.58548,0.703556,52.59
138,1,17,3/18/2011,11,31.60,51736270,30.45,-1.65027,23.86884317,1.55945,0.935786,30.99
139,1,5,1/14/2011,4,94.70,19707235,92.51,0.858277,-18.3488805,-1.49745,0.468035,94.01
140,1,10,3/25/2011,83,19.93,227819072,19.25,0.355691,-56.23208958,2.67542,0.708861,19.75
141,2,19,6/24/2011,67,83.09,28303321,81.40,-0.58309,2.862707591,5.07913,0.745357,81.84
142,2,22,4/15/2011,32,26.25,229693684,25.09,-3.13097,-11.91033682,1.67331,0.630666,25.37
143,1,28,2/18/2011,19,55.38,51556658,54.35,0.217155,4.202418841,-3.82828,0.668111,55.38
144,1,11,2/4/2011,32,37.18,41844858,36.38,-0.888769,-33.99590554,1.84783,0.679348,36.80
145,1,18,1/7/2011,63,65.88,59802189,62.56,-4.49302,,0.685805,0.74698,62.92
146,2,28,6/10/2011,61,54.30,58746396,52.69,-2.1166,21.99172229,-0.1701,0.701821,52.72
147,2,18,4/1/2011,73,67.48,39265955,65.03,3.09816,31.5291065,0.0743826,0.699197,67.22
148,2,5,5/6/2011,73,116.55,39678464,108.39,-5.07571,14.93358809,-4.0343,0.416893,110.34
149,1,21,2/4/2011,35,34.04,114880019,32.51,-1.20156,4.373185792,0.394657,1.15537,32.89
150,1,17,2/4/2011,53,31.22,34764359,30.21,2.16181,-37.53916855,-1.66774,0.929785,31.19
151,1,4,3/11/2011,82,14.70,805210688,13.92,1.41044,15.08405791,-1.54278,0.069541,14.38
152,2,16,6/17/2011,14,42.44,183560880,39.70,-1.18673,-5.752531188,-2.49383,0.612745,40.80
153,1,4,2/4/2011,26,14.47,757192224,13.64,4.23049,-28.18843105,1.79187,0.069979,14.29
154,2,13,6/24/2011,45,166.81,22984546,163.59,0.836897,-21.79473818,5.30952,0.454353,165.07
155,2,9,6/3/2011,189,41.99,52169227,39.17,-6.01432,50.55467826,-1.73558,1.01574,39.38
156,2,2,4/21/2011,69,47.48,22929313,45.27,2.74809,-21.18057031,4.00509,0.382084,47.11
157,2,16,4/8/2011,84,47.80,121937602,46.05,1.56114,8.194431542,-4.48936,0.533732,46.84
158,2,30,6/3/2011,33,31.65,85085937,30.52,-2.63659,15.20710234,-0.687398,1.40294,30.65
159,1,6,2/18/2011,39,18.95,390258123,18.56,0.0530786,-60.98831052,-0.480513,0.318302,18.85
160,2,27,5/20/2011,47,37.41,53263954,36.80,-0.295223,4.607876455,-0.217687,1.31898,37.15
161,1,5,3/11/2011,40,104.45,38614049,97.01,-3.28757,29.35373297,2.40764,0.439912,100.02
162,1,19,2/4/2011,21,74.50,41519549,73.08,0.338753,-11.15944876,2.71145,0.823768,74.05
163,2,12,4/15/2011,59,41.55,70321527,40.12,-1.10538,-19.79106642,2.57758,0.322901,40.26
164,1,14,2/25/2011,68,22.19,256135777,21.01,-0.410023,27.31574464,-0.873563,0.823422,21.86
165,2,21,6/17/2011,88,35.88,57933495,34.99,1.02769,1.176986033,-2.09691,1.07375,35.39
166,1,6,3/18/2011,11,17.88,444161658,16.97,-3.76193,42.72113826,-0.346021,0.350058,17.14
167,1,30,2/25/2011,40,28.42,94960503,27.61,-0.670904,7.611002836,-1.16814,1.52862,28.13
168,1,19,1/14/2011,42,74.49,44895850,72.46,-0.255892,-47.42916382,0.482251,0.823656,74.06
169,2,10,5/6/2011,41,20.71,235180053,19.81,-3.33333,-16.09672064,-0.400601,0.69965,20.01
170,1,7,3/4/2011,75,104.99,48214502,102.18,1.43723,-16.72485624,-4.0242,0.703614,103.75
171,2,5,4/8/2011,12,113.93,28772937,108.88,-3.45495,2.335100547,-2.55408,0.400656,109.82
172,2,13,6/10/2011,59,165.96,20646079,162.87,-0.958971,-11.57985543,0,0.459615,163.18
173,2,8,6/10/2011,62,50.90,28186429,49.52,-1.0338,11.83505655,-0.919448,0.823624,49.78
174,2,18,5/13/2011,31,68.77,32166394,66.83,1.97427,-5.246821554,0.293686,0.689352,68.18
175,1,13,1/7/2011,32,148.86,23492843,146.64,0.489097,,2.04082,0.439397,147.93
176,2,17,6/17/2011,11,34.72,44641104,33.76,1.65094,2.540396161,0.610643,0.841067,34.48
177,2,11,5/27/2011,18,37.00,40673778,36.00,0,-23.80162822,-4.28413,0.694444,36.00
178,2,25,4/15/2011,54,60.85,15459751,59.00,-0.0835422,25.61586894,3.37154,0.685619,59.80
179,2,11,6/17/2011,74,34.93,76297124,33.41,3.19785,67.29380968,2.30388,0.724008,34.53
180,2,14,4/8/2011,26,20.20,286343950,19.36,1.1622,-10.90470013,-1.59442,0.899101,20.02
181,1,20,2/18/2011,89,92.96,13431331,91.00,1.35194,-17.6758386,-2.67443,0.591652,92.96
182,1,5,1/21/2011,89,96.80,28651009,92.37,-1.49745,45.38320064,3.20354,0.474394,92.75
183,1,4,3/4/2011,89,14.48,699671790,13.81,-1.05116,-1.794490244,1.41044,0.0708215,14.12
184,2,19,4/1/2011,56,76.50,17977737,74.87,0.582396,-24.7082759,-0.35382,0.802737,75.99
185,1,30,2/11/2011,54,28.59,128889979,27.63,1.78763,8.795535062,0.598592,1.51036,28.47
186,1,12,1/28/2011,45,47.83,84066350,45.36,-2.52731,1.746352818,4.44836,0.175786,45.51
187,1,8,1/7/2011,35,50.54,27658789,49.28,-0.579421,,3.10559,0.823955,49.76
188,1,22,1/28/2011,18,29.46,457318851,27.45,-0.963597,107.8338068,0,0.576577,27.75
189,1,30,2/18/2011,47,28.57,88244232,28.00,0.598592,-31.53522664,-0.670904,1.50508,28.57
190,1,7,2/11/2011,3,98.23,38838595,95.70,-0.853207,-20.35770486,3.37173,0.746501,96.45
191,1,8,3/18/2011,54,53.50,39779608,51.10,-0.357277,46.83258001,0.557621,0.773731,52.99
192,1,25,1/21/2011,46,55.24,13631048,54.07,0.695716,-8.026534093,1.21509,0.654545,55.00
193,1,30,3/25/2011,12,29.10,169105318,27.95,0.278067,9.946603195,5.51344,1.49047,28.85
194,1,6,3/4/2011,25,18.79,302059981,18.31,-1.18153,5.907103532,-2.23312,0.326087,18.40
195,1,16,3/11/2011,24,47.10,140414285,44.76,0.263043,0.979818101,0.704535,0.546568,45.74
196,2,11,5/6/2011,39,37.67,52439439,36.77,-1.20192,-14.0606084,0.216626,0.675858,36.99
197,2,1,5/20/2011,75,17.29,118281015,16.26,-4.35294,5.957374488,3.25815,0.184502,16.26
198,1,1,2/11/2011,90,17.48,114691279,16.97,0.230814,-25.71219489,-0.632547,0.172712,17.37
199,1,24,1/7/2011,12,65.08,52323352,64.00,0.170834,,1.75466,0.744186,64.50
200,2,21,6/24/2011,81,35.97,63163236,34.50,-2.09691,9.027145695,2.89017,1.09986,34.55
201,1,12,3/11/2011,3,43.05,85140794,41.26,-2.72727,-23.0903359,0.0242072,0.191709,41.73
202,2,11,6/24/2011,67,35.69,65416820,34.28,2.30388,-14.26043792,4.85298,0.712657,35.08
203,2,8,4/8/2011,33,56.52,19685778,55.00,-0.18018,-15.66208622,-1.00992,0.740072,55.40
204,2,10,5/27/2011,20,19.52,169411364,18.97,0.621118,-25.79375318,-4.36992,0.720165,19.44
205,1,20,1/7/2011,40,87.90,16166921,85.63,-0.599424,,2.80047,0.637829,86.23
206,2,3,5/6/2011,5,80.65,25394946,78.09,-1.29434,-16.74616368,-0.353045,0.529568,79.31
207,2,18,6/10/2011,3,68.05,30422351,65.07,-0.183178,-2.468707121,0.798771,0.718764,65.39
208,1,16,2/25/2011,38,47.27,139540125,45.21,-1.10169,5.758921292,-2.75582,0.535561,46.68
209,1,14,3/18/2011,47,20.88,347426088,19.71,-3.5334,19.85381375,2.36181,0.903161,19.93
210,1,3,2/11/2011,89,72.99,21809411,71.15,0.99398,-4.218921319,0.467675,0.582201,72.14
211,1,25,3/18/2011,82,59.51,24832210,57.51,-0.701214,55.38708747,0.924025,0.706166,58.06
212,1,25,3/25/2011,75,59.28,14126721,57.99,0.924025,-43.11130181,1.04925,0.695151,58.98
213,1,27,3/11/2011,26,36.65,66137992,35.65,-0.774979,-17.41660922,0.279799,1.36681,35.85
214,2,1,4/15/2011,27,18.19,213061090,16.38,-8.52713,64.86072134,3.72861,0.181598,16.52
215,1,30,1/21/2011,16,28.59,130584257,28.15,-0.770578,-23.46322202,-3.40829,1.51783,28.33
216,1,21,3/11/2011,0,33.48,91319466,32.45,-0.818182,-28.67230467,-1.81538,1.16101,32.73
217,2,26,6/17/2011,61,85.26,22074891,82.52,1.98987,9.771305584,-0.0355619,0.567577,84.57
218,2,8,6/17/2011,55,50.63,36027620,48.64,-0.919448,27.81902951,4.9697,0.827113,49.57
219,2,21,4/29/2011,45,36.25,83960030,33.63,6.67656,77.7821741,-0.137212,1.05702,35.95
220,1,15,3/11/2011,76,61.10,53844149,59.11,-2.2917,-15.30828413,-1.54648,0.954934,59.69
221,1,1,2/25/2011,76,17.15,132981863,15.96,-1.76678,66.17769355,-1.36823,0.179856,16.68
222,1,1,3/25/2011,48,17.24,95550392,16.26,4.33455,-26.71060729,1.98482,0.175541,17.09
223,2,27,5/13/2011,54,37.68,50917728,36.95,-0.0536481,-39.58601666,-0.295223,1.31508,37.26
224,2,22,6/3/2011,74,25.10,246418070,23.84,-4.24679,15.51782852,-0.83682,0.669456,23.90
225,2,29,5/27/2011,75,82.63,68230855,80.07,3.00424,-21.35571346,-2.52161,0.568801,82.63
226,1,11,2/18/2011,18,38.48,30619613,37.27,2.69549,-15.13269899,-5.64885,0.649688,38.48
227,1,5,3/25/2011,26,110.15,37837456,105.64,2.04864,-30.18361413,3.26821,0.403337,109.09
228,1,6,1/14/2011,74,21.23,154708263,20.70,1.2894,-49.03298835,-2.35627,0.282885,21.21
229,1,14,2/18/2011,75,22.14,201181541,21.28,2.35784,-15.05677369,-0.410023,0.813008,22.14
230,2,21,5/27/2011,17,37.04,52416661,36.10,-1.25443,-29.95551344,-1.56636,1.04943,36.21
231,2,24,6/24/2011,26,65.29,53025186,62.44,-2.97628,13.15388311,2.40599,0.846781,62.59
232,1,20,1/21/2011,26,89.39,10705548,87.25,1.65073,-7.598549238,-1.98408,0.61597,89.29
233,1,10,3/18/2011,90,20.09,520516218,18.60,-3.55711,71.46703956,0.355691,0.727273,19.25
234,1,25,2/4/2011,32,57.52,27494461,55.81,2.86687,3.379654117,2.91347,0.627068,57.41
235,2,6,5/20/2011,46,16.87,371711669,16.34,-1.72414,-34.04134758,0.304692,0.362976,16.53
236,2,15,4/8/2011,48,60.18,47141409,59.25,-0.0672269,-1.848323631,1.71313,0.958628,59.46
237,1,24,3/11/2011,47,62.30,52731797,61.12,-0.822581,-11.82144795,-0.720839,0.861929,61.49
238,2,25,6/10/2011,89,61.68,18091902,58.71,-3.48818,33.66130226,-2.02977,0.692451,59.21
239,2,12,6/10/2011,3,36.24,74301015,35.14,-2.05613,-6.31990805,-0.370054,0.368794,35.25
240,1,16,3/4/2011,31,47.18,139051830,45.07,-2.75582,-0.349931606,0.263043,0.549209,45.52
241,2,10,6/24/2011,83,18.94,295978977,17.97,-2.01745,12.9778258,6.66667,0.834725,17.97
242,1,3,1/14/2011,26,70.50,18834664,68.35,0.93633,-48.05394212,1.15721,0.599401,70.07
243,2,17,6/10/2011,18,34.39,43535139,24.30,-0.821837,11.87095434,1.65094,0.858242,33.79
244,1,26,3/25/2011,54,83.59,19032729,80.57,2.73063,-27.4527139,1.87463,0.574713,83.52
245,2,1,6/24/2011,40,15.60,99423717,14.56,3.81731,-10.64929945,7.16163,0.19698,15.23
246,1,2,2/11/2011,54,46.79,43746998,43.88,6.34668,10.74718341,-1.91728,0.385027,46.75
247,1,19,1/7/2011,49,77.59,85400677,73.59,-3.54086,,-0.255892,0.820223,74.37
248,1,8,3/4/2011,68,54.95,32958368,52.76,-0.645518,-0.700039131,-2.21811,0.761092,53.87
249,2,3,4/1/2011,40,74.85,20590618,73.03,0.693878,-15.69357356,0.122649,0.567491,74.01
250,2,15,6/3/2011,84,67.34,47426009,65.80,-1.81251,-4.89459457,0.333991,0.86246,66.09
251,1,19,2/25/2011,0,76.45,27881213,74.42,-1.98815,66.61276289,2.03999,0.819452,74.44
252,2,28,4/8/2011,33,53.24,48382262,52.06,0.439686,8.676730392,1.92234,0.704225,52.54
253,1,22,2/11/2011,4,28.34,317408348,27.07,-1.97842,15.65978237,-0.514706,0.587156,27.25
254,1,6,2/11/2011,46,22.34,1000362015,18.61,-15.4229,323.2821517,0.0530786,0.320856,18.70
255,2,1,4/29/2011,13,17.24,90831895,16.66,0.354191,6.565939259,-0.694847,0.176471,17.00
256,1,12,2/11/2011,31,49.39,84089936,47.61,1.94928,12.90934065,0.454076,0.164474,48.64
257,2,12,4/8/2011,66,41.80,87672936,40.20,0.123001,-2.6613075,-1.10538,0.31941,40.70
258,2,8,5/27/2011,76,52.56,24845668,50.50,1.56522,-9.690378087,-5.43437,0.780061,52.56
259,1,29,1/7/2011,52,75.90,101740933,73.64,2.53663,,3.60708,0.582088,75.59
260,2,4,5/27/2011,5,11.69,479389107,11.29,1.91805,-27.25156614,-4.97051,0.0855432,11.69
261,2,14,5/27/2011,68,23.03,210446967,22.21,-3.09773,-45.70107527,-3.20713,0.94552,22.21
